OBJECTID,F5_Digit_NTD_ID,NTDID5,Legacy_NTD_ID,Agency_Name,Reporter_Acronym,Doing_Business_As,Reporter_Status,Reporter_Type,Reporting_Module,Organization_Type,Reported_By_NTD_ID,Reported_by_Name,Subrecipient_Type,FY_End_Date,Original_Due_Date,Address_Line_1,Address_Line_2,PO_Box,City,State,Zip_Code,Zip_Code_Ext,Region,URL,FTA_Recipient_ID,Service_Area_Sq_Miles,Service_Area_Pop,Primary_UZA,UZA_Name,Tribal_Area_Name,Density,Sq_Miles,Required_Reporter,VOMS_DO,VOMS_PT,Total_VOMS,Volunteer_Drivers,Personal_Vehicles,MSGUSPS,MSG2KX,LON,LAT,NTMParticipation
403,50020,50020,5020,Springfield City Area Transit,SCAT, ,Active,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation", , , ,12/31/2016 0:00,4/30/2017 0:00,100 Jefferson Street, ,2239,Springfield,OH,45501,1265,5,http://www.scatrideline.com/,1242,25,59680,337,"Springfield, OH", ,1741,49,Y,0,12,12, , ,90% Overall probable correctness,** Street-Level Rooftop **,-83.812533,39.921394,Yet To Be Contacted
404,50021,50021,5021,Portage Area Regional Transportation Authority,PARTA, ,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service, , , ,12/31/2016 0:00,4/30/2017 0:00,2000 Summit Road, , ,Kent,OH,44240, ,5,http://www.partaonline.org/,2113,492,161494,71,"Akron, OH", ,1750,325,Y,52, ,52, , ,100% Overall probable correctness,** Street-Level Rooftop **,-81.319943,41.137999,Yet To Be Contacted
405,50024,50024,5024,Western Reserve Transit Authority,WRTA, ,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service, , , ,12/31/2016 0:00,4/30/2017 0:00,604 Mahoning Avenue, , ,Youngstown,OH,44502, ,5,http://www.wrtaonline.com/,1234,216,238823,97,"Youngstown, OH-PA", ,1608,241,Y,51, ,51, , ,100% Overall probable correctness,** Street-Level Rooftop **,-80.659185,41.102029,Yet To Be Contacted
406,50026,50026,5026,"City of Moorhead, DBA: Metropolitan Area Transit",MATBUS, ,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation", , , ,12/31/2016 0:00,4/30/2017 0:00,500 Center Avenue, ,779,Moorhead,MN,56561, ,5,http://www.matbus.com/,1159,26,46339,194,"Fargo, ND-MN", ,2514,70,Y,0,11,11, , ,House # not found on this street,** Street-Level Rooftop **,-96.771271,46.875235,Yet To Be Contacted
407,50028,50028,5028,St. Cloud Metropolitan Transit Commission,Metro Bus, ,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service, , , ,9/30/2016 0:00,1/31/2017 0:00,"665 Franklin Avenue, N.E.", , ,St. Cloud,MN,56304, ,5,http://www.stcloudmtc.com/,1223,29,103018,281,"St. Cloud, MN", ,2202,50,Y,52, ,52, , ,100% Overall probable correctness,** Street-Level Rooftop **,-94.14809,45.575912,Yet To Be Contacted
408,50030,50030,5030,Battle Creek Transit,BCT, ,Active,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation", , , ,6/30/2016 0:00,10/31/2016 0:00,339 West Michigan, , ,Battle Creek,MI,49017, ,5,http://www.battlecreekmi.gov/,1214,73,87735,363,"Battle Creek, MI", ,1479,53,Y,21, ,21, , ,80% Overall probable correctness,** Street-Level Rooftop **,-85.193656,42.324918,Yet To Be Contacted
409,50032,50032,5032,Mass Transportation Authority,MTA, ,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service, , , ,9/30/2016 0:00,1/31/2017 0:00,1401 South Dort Highway, , ,Flint,MI,48503, ,5,http://www.mtaflint.org/,1216,640,418408,106,"Flint, MI", ,1510,236,Y,200,2,202, , ,100% Overall probable correctness,** Street-Level Rooftop **,-83.654229,43.014308,Yet To Be Contacted
410,50037,50037,5037,Muskegon Area Transit System,MATS, ,Active,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation", , , ,9/30/2016 0:00,1/31/2017 0:00,2624 Sixth Street, , ,Muskegon Heights,MI,49444, ,5,http://www.matsbus.com/,1212,499,172188,207,"Muskegon, MI", ,1436,112,Y,23, ,23, , ,90% Overall probable correctness,** Street-Level Rooftop **,-86.249376,43.204106,Yet To Be Contacted
411,50038,50038,5038,Niles Dial-A-Ride,DART, ,Active,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation", , , ,9/30/2016 0:00,1/31/2017 0:00,623 North Second Street, , ,Niles,MI,49120, ,5,http://www.nilesdialaride.org/,1128,120,237932,136,"South Bend, IN-MI", ,1727,161,Y,5, ,5, , ,90% Overall probable correctness,** Street-Level Rooftop **,-86.257172,41.833851,Yet To Be Contacted
412,50039,50039,5039,Saginaw Transit Authority Regional Service,STARS, ,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service, , , ,9/30/2016 0:00,1/31/2017 0:00,615 Johnson Street, , ,Saginaw,MI,48607,1575,5,http://www.saginaw-stars.com/,5007,63,200169,253,"Saginaw, MI", ,1773,71,Y,32, ,32, , ,100% Overall probable correctness,** Street-Level Rooftop **,-83.933197,43.434849,Yet To Be Contacted
413,50042,50042,5042,East Chicago Transit,ECT, ,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation", , , ,12/31/2016 0:00,4/30/2017 0:00,5400 Cline Avenue, , ,East Chicago,IN,46312, ,5,http://www.eastchicago.com/page10/page90/index.html,1193,11,29698,3,"Chicago, IL-IN", ,3524,2443,Y,4, ,4, , ,100% Overall probable correctness,** Street-Level Rooftop **,-87.432352,41.615938,Yet To Be Contacted
414,50043,50043,5043,Metropolitan Evansville Transit System,METS, ,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation", , , ,12/31/2016 0:00,4/30/2017 0:00,601 John Street, , ,Evansville,IN,47713,2752,5,http://www.evansville.in.gov/METS/,2565,45,122961,159,"Evansville, IN-KY", ,1930,119,Y,37, ,37, , ,100% Overall probable correctness,** Street-Level Rooftop **,-87.556258,37.97618,Yet To Be Contacted
415,50044,50044,5044,Fort Wayne Public Transportation Corporation,Citilink, ,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service, , , ,12/31/2016 0:00,4/30/2017 0:00,801 Leesburg Road, , ,Fort Wayne,IN,46808,2571,5,http://www.fwcitilink.com/,1191,111,268485,119,"Fort Wayne, IN", ,1821,172,Y,42, ,42, , ,100% Overall probable correctness,** Street-Level Rooftop **,-85.169214,41.080899,Yet To Be Contacted
416,50045,50045,5045,Gary Public Transportation Corporation,GPTC, ,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation", , , ,12/31/2016 0:00,4/30/2017 0:00,100 West 4th Avenue, ,M-64903,Gary,IN,46402, ,5,http://www.gptcbus.com/,1200,38,102746,3,"Chicago, IL-IN", ,3524,2443,Y,20, ,20, , ,100% Overall probable correctness,** Street-Level Rooftop **,-87.338501,41.604039,Yet To Be Contacted
417,50053,50053,5053,Terre Haute Transit Utility,THTU, ,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation", , , ,12/31/2016 0:00,4/30/2017 0:00,901 South 14th Street, , ,Terre Haute,IN,47807,4923,5,http://www.terrehaute.in.gov/,2568,18,59614,316,"Terre Haute, IN", ,1735,53,Y,11, ,11, , ,100% Overall probable correctness,** Street-Level Rooftop **,-87.395498,39.457472,Yet To Be Contacted
418,50054,50054,5054,Muncie Indiana Transit System,MITS, ,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation", , , ,12/31/2016 0:00,4/30/2017 0:00,1300 East Seymour Street, , ,Muncie,IN,47302, ,5,http://www.mitsbus.org/,2053,27,70085,322,"Muncie, IN", ,1941,47,Y,36, ,36, , ,100% Overall probable correctness,** Street-Level Rooftop **,-85.372656,40.189492,Yet To Be Contacted
419,50058,50058,5058,Rockford Mass Transit District,RMTD, ,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service, , , ,6/30/2016 0:00,10/31/2016 0:00,520 Mulberry Street, , ,Rockford,IL,61101,1016,5,http://www.rmtd.org/,1186,155,227502,127,"Rockford, IL", ,1940,153,Y,51, ,51, , ,100% Overall probable correctness,** Street-Level Rooftop **,-89.096529,42.273133,Yet To Be Contacted
420,50059,50059,5059,Springfield Mass Transit District,SMTD, ,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service, , , ,6/30/2016 0:00,10/31/2016 0:00,928 South Ninth Street, , ,Springfield,IL,62703,2497,5,http://www.smtd.org/,1187,65,123682,206,"Springfield, IL", ,1747,92,Y,60, ,60, , ,90% Overall probable correctness,** Street-Level Rooftop **,-89.643619,39.79235,Yet To Be Contacted
421,50061,50061,5061,Decatur Public Transit System,DPTS, ,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation", , , ,6/30/2016 0:00,10/31/2016 0:00,555 East Wood Street, , ,Decatur,IL,62523,1325,5,http://www.decaturil.gov/transit.htm/,1274,53,81337,313,"Decatur, IL", ,1586,59,Y,25,6,31, , ,100% Overall probable correctness,** Street-Level Rooftop **,-88.95008,39.840299,Yet To Be Contacted
422,50090,50090,5090,Richland County Transit,RCT, ,Active,Reduced Reporter,Urban,Independent Public Agency or Authority of Transit Service, , , ,12/31/2016 0:00,4/30/2017 0:00,35 North Park Street, , ,Mansfield,OH,44902, ,5,www.rctbuses.com/,1240,39,66787,372,"Mansfield, OH", ,1496,50,Y,0,16,16, , ,90% Overall probable correctness,** Street-Level Rooftop **,-82.514932,40.759153,Yet To Be Contacted
423,50091,50091,5091,Wausau Area Transit System,WATS, ,Active,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation", , , ,12/31/2016 0:00,4/30/2017 0:00,420 Plumer Street, , ,Wausau,WI,54403,6276,5,http://metroride.ci.wausau.wi.us/,2061,19,39302,375,"Wausau, WI", ,1592,47,Y,21, ,21, , ,100% Overall probable correctness,** Street-Level Rooftop **,-89.626832,44.95518,Yet To Be Contacted
424,50092,50092,5092,City of Rochester Public Transportation,RPT, ,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation", , , ,12/31/2016 0:00,4/30/2017 0:00,"201 4th Street, S.E.",Room 108, ,Rochester,MN,55904, ,5,http://www.RPTRide.com/,1222,51,104230,288,"Rochester, MN", ,2129,51,Y,0,42,42, , ,100% Overall probable correctness,** Street-Level Rooftop **,-92.459864,44.01949,Yet To Be Contacted
425,50093,50093,5093,Lima Allen County Regional Transit Authority,LACRTA, ,Active,Reduced Reporter,Urban,Independent Public Agency or Authority of Transit Service, , , ,12/31/2016 0:00,4/30/2017 0:00,200 East High Street, , ,Lima,OH,45801,4424,5,http://www.acrta.com/,1230,407,106094,381,"Lima, OH", ,1392,52,Y,23, ,23, , ,100% Overall probable correctness,**  Centroid Lat/Long   **,-84.142022,40.653242,Yet To Be Contacted
426,50095,50095,5095,Lorain County Transit,LCT, ,Active,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation", , , ,12/31/2016 0:00,4/30/2017 0:00,226 Middle Avenue, , ,Elyria,OH,44035, ,5,http://www.loraincounty.us/transit/,1229,49,127025,191,"Lorain-Elyria, OH", ,1806,100,Y,0,12,12, , ,100% Overall probable correctness,** Street-Level Rooftop **,-82.106731,41.365887,Yet To Be Contacted
427,50096,50096,5096,City of Waukesha Transit Commission,Waukesha Metro Transit, ,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation", , , ,12/31/2016 0:00,4/30/2017 0:00,2311 Badger Drive, , ,Waukesha,WI,53188,5932,5,http://www.waukeshametro.org/,5019,43,141642,35,"Milwaukee, WI", ,2523,546,Y,25,16,41, , ,100% Overall probable correctness,** Street-Level Rooftop **,-88.273905,42.990394,Yet To Be Contacted
428,50098,50098,5098,Michigan City Transit,MC Transit, ,Active,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation", , , ,12/31/2016 0:00,4/30/2017 0:00,1801 Kentucky Street, , ,Michigan City,IN,46360, ,5,http://emichigancity.com/,6273,20,31479,418,"Michigan City-La Porte, IN-MI", ,1695,39,N,8, ,8, , ,100% Overall probable correctness,** Street-Level Rooftop **,-86.906283,41.703598,Yet To Be Contacted
429,50103,50103,5103,North Township of Lake County Dial-A-Ride, , ,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation", , , ,12/31/2016 0:00,4/30/2017 0:00,5947 Hohman Avenue, , ,Hammond,IN,46320, ,5,http://www.northtownshiptrustee.com/, ,51,162855,3,"Chicago, IL-IN", ,3524,2443,Y,7,25,32, , ,100% Overall probable correctness,** Street-Level Rooftop **,-87.521757,41.605726,Yet To Be Contacted
430,50104,50104,5104,Northern Indiana Commuter Transportation District,NICTD, ,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service, , , ,12/31/2016 0:00,4/30/2017 0:00,33 East U.S. Highway 12, , ,Chesterton,IN,46304, ,5,http://www.nictd.com/,1201,1970,958644,3,"Chicago, IL-IN", ,3524,2443,Y,70, ,70, , ,100% Overall probable correctness,** Street-Level Rooftop **,-87.014495,41.660871,Yet To Be Contacted
431,50107,50107,5107,Henderson Area Rapid Transit,HART, ,Active,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation", , , ,6/30/2016 0:00,10/31/2016 0:00,P. O. Box 716, ,716,Henderson,KY,42419,716,5,http://www.cityofhendersonky.org/,2052,16,28900,159,"Evansville, IN-KY", ,1930,119,Y,6, ,6, , ,100% Overall probable correctness,**  Centroid Lat/Long   **,-87.5989,37.8378,Yet To Be Contacted
432,50108,50108,5108,Janesville Transit System,JTS, ,Active,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation", , , ,12/31/2016 0:00,4/30/2017 0:00,101 Black Bridge Rd., , ,Janesville,WI,53545,784,5,http://www.ci.janesville.wi.us/,1322,28,63600,396,"Janesville, WI", ,2263,31,Y,14,2,16, , ,100% Overall probable correctness,** Street-Level Rooftop **,-89.031354,42.704481,Yet To Be Contacted
433,50110,50110,5110,Bloomington Public Transportation Corporation,BT, ,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service, , , ,12/31/2016 0:00,4/30/2017 0:00,130 West Grimes Lane, , ,Bloomington,IN,47403, ,5,http://www.bloomingtontransit.com/,1909,21,80405,286,"Bloomington, IN", ,2426,45,Y,38, ,38, , ,100% Overall probable correctness,** Street-Level Rooftop **,-86.534975,39.15351,Yet To Be Contacted
434,50131,50131,5131,"Opportunity Enterprises, Inc.",OE, ,Active,Full Reporter,Urban,Private-Non-Profit Corporation, , , ,6/30/2016 0:00,10/31/2016 0:00,2801 Evans Avenue, , ,Valparaiso,IN,46383, ,5,http://www.oppent.org/,1193,590,160105,3,"Chicago, IL-IN", ,3524,2443,Y,15, ,15, , ,100% Overall probable correctness,** Street-Level Rooftop **,-87.0243,41.478348,Yet To Be Contacted
435,50132,50132,5132,Twin Cities Area Transportation Authority,TCATA, ,Active,Reduced Reporter,Urban,Independent Public Agency or Authority of Transit Service, , , ,9/30/2016 0:00,1/31/2017 0:00,275 East Wall Street, ,837,Benton Harbor,MI,49022,837,5,http://mywaythere.org/tcata.asp,1215,14,27000,443,"Benton Harbor-St. Joseph-Fair Plain, MI", ,1308,47,Y,25, ,25, , ,100% Overall probable correctness,** Street-Level Rooftop **,-86.452499,42.116085,Yet To Be Contacted
436,50133,50133,5133,Chippewa Falls General Public Shared-Ride Taxi System,CFTN, ,Active,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation", , , ,12/31/2016 0:00,4/30/2017 0:00,30 West Central Street, , ,Chippewa Falls,WI,54729, ,5,http://www.chippewafalls-wi.gov/,5254,11,13718,297,"Eau Claire, WI", ,1491,69,Y,0,8,8, , ,100% Overall probable correctness,** Street-Level Rooftop **,-91.39294,44.936301,Yet To Be Contacted
437,50142,50142,5142,Steel Valley Regional Transit Authority,Steel Valley RTA, ,Active,Reduced Reporter,Urban,Independent Public Agency or Authority of Transit Service, , , ,12/31/2016 0:00,4/30/2017 0:00,555 Adams Street, ,1177,Steubenville,OH,43952,1177,5,http://www.svrta.com/,5702,13,22113,389,"Weirton-Steubenville, WV-OH-PA", ,1404,51,Y,7, ,7, , ,100% Overall probable correctness,** Street-Level Rooftop **,-80.617573,40.358974,Yet To Be Contacted
438,50143,50143,5143,Brunswick Transit Alternative,BTA, ,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation", , , ,12/31/2016 0:00,4/30/2017 0:00,4095 Center Road, , ,Brunswick,OH,44212, ,5,http://www.brunswick.oh.us/, ,37,46638,25,"Cleveland, OH", ,2307,772,Y,2, ,2, , ,100% Overall probable correctness,** Street-Level Rooftop **,-81.833569,41.238436,Yet To Be Contacted
439,50145,50145,5145,City of Kokomo,COK, ,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation", , , ,12/31/2016 0:00,4/30/2017 0:00,100 South Union Street, , ,Kokomo,IN,46901,4632,5,http://www.kokomompo.com/,5470,80,56842,437,"Kokomo, IN", ,1715,36,Y,30, ,30, , ,100% Overall probable correctness,** Street-Level Rooftop **,-86.129787,40.486499,Yet To Be Contacted
440,50146,50146,5146,Madison County Transit District,MCT, ,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service, , , ,6/30/2016 0:00,10/31/2016 0:00,One Transit Way, ,7500,Granite City,IL,62040,7500,5,http://www.mct.org/,5622,189,232298,20,"St. Louis, MO-IL", ,2329,924, ,52,93,145, , ,80% Overall probable correctness,** Street-Level Rooftop **,-90.076034,38.758188,Yet To Be Contacted
441,50148,50148,5148,Blue Water Area Transportation Commission,Blue Water Area Transit, ,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service, , , ,9/30/2016 0:00,1/31/2017 0:00,2021 Lapeer Avenue, , ,Port Huron,MI,48060,4155,5,http://www.bwbus.com/,5636,700,163040,336,"Port Huron, MI", ,1441,60,Y,55,150,205, , ,100% Overall probable correctness,** Street-Level Rooftop **,-82.447861,42.977597,Yet To Be Contacted
442,50152,50152,5152,Onalaska Shared Ride Taxi City of Onalaska, , ,Active,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation", , , ,12/31/2016 0:00,4/30/2017 0:00,415 Main Street, , ,Onalaska,WI,54650,2953,5,http://www.cityofonalaska.com/,5657,22,33225,298,"La Crosse, WI-MN", ,1978,51,Y,0,9,9, , ,100% Overall probable correctness,** Street-Level Rooftop **,-91.230795,43.883772,Yet To Be Contacted
443,50155,50155,5155,Metro Mobility, , ,Active,Full Reporter,Urban,"Subsidiary Unit of a Transit Agency, Reporting Separately", , , ,12/31/2016 0:00,4/30/2017 0:00,Metropolitan Council,390 North Robert Street, ,St. Paul,MN,55101,1805,5,http://www.metrocouncil.org/,1305,1111,2314701,16,"Minneapolis-St. Paul, MN-WI", ,2594,1022,Y,0,469,469, , ,90% Overall probable correctness,** Street-Level Rooftop **,-93.091146,44.948005,Yet To Be Contacted
444,50157,50157,5157,Butler County Regional Transit Authority,BCRTA, ,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service, , , ,12/31/2016 0:00,4/30/2017 0:00,3045 Moser Court,Hamilton Enterprise Park, ,Hamilton,OH,45011, ,5,http://www.butlercountyrta.com/,5774,53,368130,30,"Cincinnati, OH-KY-IN", ,2063,788,Y,41, ,41, , ,100% Overall probable correctness,** Street-Level Rooftop **,-84.517491,39.373876,Yet To Be Contacted
445,50160,50160,5160,Washington County Transit, , ,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation", , , ,12/31/2016 0:00,4/30/2017 0:00,900 Lang Street, , ,West Bend,WI,53090, ,5,http://www.co.washington.wi.us/,6195,435,132612,35,"Milwaukee, WI", ,2523,546,Y,0,33,33, , ,100% Overall probable correctness,** Street-Level Rooftop **,-88.168,43.42962,Yet To Be Contacted
446,50161,50161,5161,Ozaukee County Transit Services,OCTS, ,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation", , , ,12/31/2016 0:00,4/30/2017 0:00,410 South Spring Street, ,994,Port Washington,WI,53074, ,5,http://www.ozaukeetransit.com/,6155,235,86389,35,"Milwaukee, WI", ,2523,546,Y,7,23,30, , ,100% Overall probable correctness,** Street-Level Rooftop **,-87.886733,43.382832,Yet To Be Contacted
447,50162,50162,5162,TransPorte,Our Citys Wheels, ,Active,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation", , , ,12/31/2016 0:00,4/30/2017 0:00,102 L Street, , ,Laporte,IN,46350,9082,5,http://www.cityoflaporte.com/,1193,13,21692,418,"Michigan City-La Porte, IN-MI", ,1695,39,Y,5, ,5, , ,100% Overall probable correctness,** Street-Level Rooftop **,-86.732876,41.606556,Yet To Be Contacted
448,50163,50163,5163,Licking County Transit Board,LCTB, ,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation", , , ,12/31/2016 0:00,4/30/2017 0:00,745 East Main Street, , ,Newark,OH,43055,6932,5,http://www.lcounty.com/,6332,683,166492,369,"Newark, OH", ,1806,42,Y,0,38,38, , ,100% Overall probable correctness,** Street-Level Rooftop **,-82.371502,40.059935,Yet To Be Contacted
449,50165,50165,5165,Greene County Transit Board,Greene CATS,Greene CATS Public Transit,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation", , , ,12/31/2016 0:00,4/30/2017 0:00,2380 Bellbrook Ave, , ,Xenia,OH,45385, ,5,http://www.co.greene.oh.us/greenecats/,6281,425,147886,59,"Dayton, OH", ,2060,351,Y,0,41,41, , ,100% Overall probable correctness,** Street-Level Rooftop **,-83.966861,39.661752,Yet To Be Contacted
450,50167,50167,5167,"South Lake County Community Services, Inc.",SLCCS, ,Active,Full Reporter,Urban,Private-Non-Profit Corporation, , , ,12/31/2016 0:00,4/30/2017 0:00,1450 E. Joliet Street,Suite 202, ,Crown Point,IN,46307, ,5, ,1193,550,220752,3,"Chicago, IL-IN", ,3524,2443,Y,14, ,14, , ,100% Overall probable correctness,** Street-Level Rooftop **,-87.347537,41.413142,Yet To Be Contacted
451,50169,50169,5169,Miami County Public Transit,MCPT, ,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation", , , ,12/31/2016 0:00,4/30/2017 0:00,2036 North County Road 25A, , ,Troy,OH,45373,2984,5,http://www.co.miami.oh.us/,6284,410,101256,59,"Dayton, OH", ,2060,351,Y,0,17,17, , ,100% Overall probable correctness,** Street-Level Rooftop **,-84.216666,40.070485,Yet To Be Contacted
452,50176,50176,5176,City of DeKalb,City of DeKalb, ,Active,Separate Service,Urban,"City, County or Local Government Unit or Department of Transportation", , , ,6/30/2016 0:00,10/31/2016 0:00,200 South Fourth Street, , ,DeKalb,IL,60115,3733,5,http://www.dsats.org,6299,26,68545,404,"DeKalb, IL", ,2658,26,Y,0, ,0, , ,90% Overall probable correctness,** Street-Level Rooftop **,-88.750365,41.928423,Yet To Be Contacted
453,50179,50179,5179,"Porter County Aging and Community Services, Inc.",PCACS,PCACS,Active,Full Reporter,Urban,Private-Non-Profit Corporation, , , ,6/30/2016 0:00,10/31/2016 0:00,1005 Campbell, , ,Valparaiso,IN,46385,6385,5,http://www.portercountyacs.org/,1193,522,164343,3,"Chicago, IL-IN", ,3524,2443,Y,7, ,7, , ,90% Overall probable correctness,** Street-Level Rooftop **,-87.066081,41.477542,Yet To Be Contacted
454,50180,50180,5180,Livingston Essential Transportation Service,LETS, ,Active,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation", , , ,12/31/2016 0:00,4/30/2017 0:00,3950 W. Grand River Avenue, , ,Howell,MI,48855, ,5,http://www.livgov.com/LETS/,5183,568,188806,262,"South Lyon-Howell, MI", ,1163,103,Y,23, ,23, , ,100% Overall probable correctness,** Street-Level Rooftop **,-83.993134,42.631897,Yet To Be Contacted
455,50182,50182,5182,"Pace-Suburban Bus Division, ADA Paratransit Services",PACE, ,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service, , , ,12/31/2016 0:00,4/30/2017 0:00,550 West Algonquin Road, , ,Arlington Heights,IL,60005, ,5,http://www.pacebus.com/,5118,1333,6632399,3,"Chicago, IL-IN", ,3524,2443,Y,0,940,940, , ,100% Overall probable correctness,** Street-Level Rooftop **,-87.988732,42.047655,Yet To Be Contacted
456,50184,50184,5184,Macatawa Area Express Transportation Authority,MAX, ,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service, , , ,9/30/2016 0:00,1/31/2017 0:00,171 Lincoln Avenue,Suite 20, ,Holland,MI,49423, ,5,http://www.catchamax.org/,6901,42,71572,299,"Holland, MI", ,1687,59,Y,21, ,21, , ,100% Overall probable correctness,** Street-Level Rooftop **,-86.097204,42.791346,Yet To Be Contacted
457,50185,50185,5185,Northwestern Indiana Regional Planning Commission,NIRPC, ,Active,Planning Reporter,Urban,"MPO, COG or Other Planning Agency", , , ,12/31/2016 0:00,4/30/2017 0:00,6100 Southport Road, , ,Portage,IN,46368, ,5,http://www.nirpc.org/,1193,0,0,3,"Chicago, IL-IN", ,3524,2443,N,0, ,0, , ,100% Overall probable correctness,** Street-Level Rooftop **,-87.176847,41.60281,Yet To Be Contacted
458,50186,50186,5186,Lawrence County Port Authority,LCPA, ,Active,Reduced Reporter,Urban,Independent Public Agency or Authority of Transit Service, , , ,12/31/2016 0:00,4/30/2017 0:00,305 North 5th Street, , ,Ironton,OH,45638, ,5,lawrencecountytransit.com,6687,67,113532,178,"Huntington, WV-KY-OH", ,1555,130,Y,0,11,11, , ,100% Overall probable correctness,** Street-Level Rooftop **,-82.684737,38.53842,Yet To Be Contacted
459,50193,50193,5193,"VRide, Inc. - Michigan", , ,Active,Full Reporter,Urban,Private Provider Reporting on Behalf of a Public Entity, , , ,12/31/2016 0:00,4/30/2017 0:00,31500 West Thirteen Mile Road, , ,Farmington Hills,MI,48334, ,5,http://www.vride.com/, ,2544,10003422,11,"Detroit, MI", ,2793,1337,N,537, ,537, , ,90% Overall probable correctness,** Street-Level Rooftop **,-83.360519,42.513903,Yet To Be Contacted
460,50194,50194,5194,Boone County Council on Aging,BCCA, ,Active,Reduced Reporter,Urban,Private-Non-Profit Corporation, , , ,6/30/2016 0:00,10/31/2016 0:00,2141 Henry Luckow Lane, , ,Belvidere,IL,61008,1700,5,http://www.keenage.org/, ,267,54165,127,"Rockford, IL", ,1940,153,Y,12, ,12, , ,100% Overall probable correctness,** Street-Level Rooftop **,-88.864533,42.276034,Yet To Be Contacted
461,50195,50195,5195,City of Shelby, , ,Active,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation", , , ,12/31/2016 0:00,4/30/2017 0:00,43 West Main Street, , ,Shelby,OH,44875, ,5,http://www.shelbyohio.org/,1240,6,9317,372,"Mansfield, OH", ,1496,50,N,1, ,1, , ,100% Overall probable correctness,** Street-Level Rooftop **,-82.660892,40.88152,Yet To Be Contacted
462,50196,50196,5196,Harbor Transit Multi-Modal Transportation System,Harbor Transit, ,Active,Reduced Reporter,Urban,Independent Public Agency or Authority of Transit Service, , , ,6/30/2016 0:00,10/31/2016 0:00,440 North Ferry Street, , ,Grand Haven,MI,49417, ,5,http://www.harbortransit.org/,7121,54,43857,207,"Muskegon, MI", ,1436,112,Y,19, ,19, , ,100% Overall probable correctness,** Street-Level Rooftop **,-86.215512,43.065805,Yet To Be Contacted
463,50197,50197,5197,Trumbull County Transit Board,TCTS, ,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation", , , ,12/31/2016 0:00,4/30/2017 0:00,160 High Street NW, , ,Warren,OH,44481, ,5,http://www.trumbullcountytransit.org,7154,625,210312,97,"Youngstown, OH-PA", ,1608,241,Y,0,24,24, , ,100% Overall probable correctness,** Street-Level Rooftop **,-80.818938,41.237632,Yet To Be Contacted
